LON,LAT,,,,,,,,
-120.4514250000,34.4470940000,,,,,,,,
-120.4600970000,34.4474208900,,,,,,,,
-120.4619410000,34.4474903900,,,,,,,,
-120.4625390000,34.4475129300,,,,,,,,
-120.4654570000,34.4476229000,,,,,,,,
-120.4693580000,34.4477699500,,,,,,,,
-120.4713760000,34.4478460000,,,,,,,,
-120.4714520000,34.4482440400,,,,,,,,
-120.4716420000,34.4492354500,,,,,,,,
-120.4724710000,34.4535561500,,,,,,,,
-120.4734380000,34.4585990200,,,,,,,,
-120.4765510000,34.4748235100,,,,,,,,
-120.4766100000,34.4751310000,,,,,,,,
-120.4768560000,34.4755189900,,,,,,,,
-120.4803720000,34.4810590000,,,,,,,,
-120.4832630000,34.4836270400,,,,,,,,
-120.4903940000,34.4899604500,,,,,,,,
-120.4905230000,34.4900750000,,,,,,,,
-120.4923850000,34.4930059600,,,,,,,,
-120.4992250000,34.5037659700,,,,,,,,
-120.5002310000,34.5053489700,,,,,,,,
-120.5091570000,34.5193913600,,,,,,,,
-120.5100210000,34.5207519300,,,,,,,,
-120.5110010000,34.5222926700,,,,,,,,
-120.5114210000,34.5229530000,,,,,,,,
-120.5155150000,34.5255095900,,,,,,,,
-120.5163930000,34.5260576400,,,,,,,,
-120.5173070000,34.5266283600,,,,,,,,
-120.5208960000,34.5288691300,,,,,,,,
-120.5247760000,34.5312910000,,,,,,,,
-120.5263290000,34.5319964200,,,,,,,,
-120.5275260000,34.5325402000,,,,,,,,
-120.5298080000,34.5335765600,,,,,,,,
-120.5305210000,34.5339003600,,,,,,,,
-120.5364590000,34.5365970200,,,,,,,,
-120.5365790000,34.5366516500,,,,,,,,
-120.5402670000,34.5383267700,,,,,,,,
-120.5405090000,34.5384364800,,,,,,,,
-120.5440880000,34.5400622300,,,,,,,,
-120.5745800000,34.5539103500,,,,,,,,
-120.5799190000,34.5563352500,,,,,,,,
-120.5812620000,34.5569450300,,,,,,,,
-120.5812930000,34.5569590000,,,,,,,,
-120.5853920000,34.5569131000,,,,,,,,
-120.5890930000,34.5568716600,,,,,,,,
-120.6083550000,34.5566560000,,,,,,,,
-120.6097360000,34.5554860600,,,,,,,,
-120.6107300000,34.5546434300,,,,,,,,
-120.6120050000,34.5535640000,,,,,,,,
-120.6122120000,34.5535728700,,,,,,,,
-120.6123190000,34.5535774600,,,,,,,,
-120.6152490000,34.5537030300,,,,,,,,
-120.6203420000,34.5539213200,,,,,,,,
-120.6217490000,34.5539816200,,,,,,,,
-120.6220730000,34.5539955200,,,,,,,,
-120.6225750000,34.5540170000,,,,,,,,
-120.6226810000,34.5541026900,,,,,,,,
-120.6243780000,34.5554623700,,,,,,,,
-120.6249160000,34.5558931500,,,,,,,,
-120.6373980000,34.5658940400,,,,,,,,
-120.6378050000,34.5662200000,,,,,,,,
-120.6379620000,34.5665132300,,,,,,,,
-120.6389850000,34.5684251300,,,,,,,,
-120.6412620000,34.5726757700,,,,,,,,
-120.6415280000,34.5731735100,,,,,,,,
-120.6415960000,34.5732994600,,,,,,,,
-120.6416980000,34.5734893200,,,,,,,,
-120.6418650000,34.5738028900,,,,,,,,
-120.6426720000,34.5753084000,,,,,,,,
-120.6428960000,34.5757267800,,,,,,,,
-120.6451890000,34.5800080000,,,,,,,,
-120.6457390000,34.5810350000,,,,,,,,
-120.6457020000,34.5811918200,,,,,,,,
-120.6453930000,34.5825048300,,,,,,,,
-120.6453320000,34.5827624800,,,,,,,,
-120.6453250000,34.5827922700,,,,,,,,
-120.6451960000,34.5833427000,,,,,,,,
-120.6440620000,34.5881670800,,,,,,,,
-120.6437650000,34.5894272800,,,,,,,,
-120.6416970000,34.5982244800,,,,,,,,
-120.6411140000,34.6007031400,,,,,,,,
-120.6409770000,34.6012866200,,,,,,,,
-120.6409350000,34.6014661700,,,,,,,,
-120.6402440000,34.6044060000,,,,,,,,
-120.6400540000,34.6047833900,,,,,,,,
-120.6397930000,34.6053023900,,,,,,,,
-120.6394810000,34.6059232500,,,,,,,,
-120.6389980000,34.6068844500,,,,,,,,
-120.6389650000,34.6069496600,,,,,,,,
-120.6361310000,34.6125907800,,,,,,,,
-120.6352920000,34.6142591900,,,,,,,,
-120.6350220000,34.6147964100,,,,,,,,
-120.6349810000,34.6148781800,,,,,,,,
-120.6348210000,34.6151963900,,,,,,,,
-120.6347620000,34.6153146700,,,,,,,,
-120.6344020000,34.6160307900,,,,,,,,
-120.6341620000,34.6165073900,,,,,,,,
-120.6340460000,34.6167400800,,,,,,,,
-120.6340090000,34.6168135300,,,,,,,,
-120.6338010000,34.6172261700,,,,,,,,
-120.6251270000,34.6344890000,,,,,,,,
-120.6201820000,34.6467898800,,,,,,,,
-120.6200620000,34.6470887600,,,,,,,,
